"","group_name","subcategory","item","item_description"
"1","Magic","Magic","Soul Arrow","""An elementary sorcery. Fires a small soul arrow straight ahead.To use sorceries, attune a sorcery at a bonfire and equip a staff."""
"2","Magic","Magic","Great Soul Arrow","""A spell superior to the Soul Arrow.More powerful, and effective at damaging enemies resistant to physical attacks. The strength of this spell is influenced by one's intelligence."""
"3","Magic","Magic","Heavy Soul Arrow","""Advanced soul spell.Fires a devastating, thick soul arrow.But beware. The more powerful the soul arrow, the longer the casting time."""
"4","Magic","Magic","Great Heavy Soul Arrow","A spell superior to Heavy Soul Arrow. Fires an even stronger soul arrow. Difficult to handle, but very powerful. Only the well-trained can handle these arrows""."
"5","Magic","Magic","Homing Soul Arrow","""One of the sorceries devised by Straid, the great mage of ancient Olaphis.Fires souls arrows that follow their targets to the ends of the earth."""
"6","Magic","Magic","Heavy Homing Soul Arrow","""One of the sorceries devised by Straid, the great mage of ancient Olaphis. Fires thick, powerful soul arrows that seek their targets to the ends of the earth"""
"7","Magic","Magic","Homing Soul Mass","""Multiple soul masses appear above the head. When fired, they home in on their target. This spell was said to have been devised by a master sorcerer, but his name is long forgotten."""
"8","Magic","Magic","Homing Crystal Soul Mass","""Soulbeads made more lethal with crystallization.When fired, they home in on their target. Crystallization makes souls and sorceries all the more powerful."""
"9","Magic","Magic","Soul Spear","""Sorcery that fires souls shaped into a spear.Pierces enemies, causing heavy damage.This spells was said to have been devised by a master sorcerer, but his name is long forgotten."""
"10","Magic","Magic","Crystal Soul Spear","""Soul spear sharpened through crystallization. Pierces enemies, causing heavy damage. Superior to the most finely sharpened weapons.When wielded precisely, it can take down several enemies at once."""
"11","Magic","Magic","Shockwave","""Does not inflict damage, but unleashes a large shockwave, toppling opponents.Intended to stun opponents and make them vulnerable to attack. Some call this child's play, but for an innovative caster, it is a deadly tool."""
"12","Magic","Magic","Soul Spear Barrage","""Fires a flurry of soul spears. inflicts high damage when multiple spears hit.A reworking of an ancient spell concocted at the Melfian Magic Academy.A simple idea, but potentially highly effective. When used properly, of course."""
"13","Magic","Magic","Soul Shower","""Hurls a huge soul mass which splits into smaller souls that rain from above.Requires real talent and is difficult to handle. Only works in certain places, and against certain foes."""
"14","Magic","Magic","Soul Greatsword","A sorcery that attacks foes using a sword made of souls. Energy is focused in a single point, and wielded as a sword with both hands.Use of this sorcery is not too dissimilar to swordplay, and so inherently endangers the caster. Sotfs: A sorcery that attacks foes using a sword made of souls. The sorcery has been strengthened by concentrating power in the user's hands.Use of this sorcery is not too dissimilar to swordplay, making it popular with the magic warriors of Melfia."
"15","Magic","Magic","Soul Vortex","""One of the lost sorceries preserved only in the Undead Crypt.Fires successive homing souls.Extremely difficult sorcery to evade, making it very effective against frisky foes."""
"16","Magic","Magic","Soul Bolt","""One of the sorceries devised by Straid, the great mage of ancient Olaphis.Fires a blinding, piercing bolt of light.Straid started with an unwieldy spell that back-fired on its caster, and in time, perfected it."""
"17","Magic","Magic","Soul Geyser","A secret art unleashes a gush of souls. The homing soul mass pierces its target, then hits repeatedly for additional damage. This blasphemous spell is a family heirloom of Lord Aldia's. It was designed to pummel foes until its power is entirely exhausted."
"18","Magic","Magic","Magic Weapon","""Sorcery that imbues weapon in other hand with magic. Adds magic damage to the types of damage the weapon already inflicts.Wielding a sword and casting a sorcery are two different things, and some members of the Melfian Magic Academy view these varieties of spells as impure."""
"19","Magic","Magic","Great Magic Weapon","""A sorcery superior to Magic Weapon. Reinforces weapon in other hand with intense magic, allowing for infliction of heavy magic damage.The old purists of the Melfian Magic Academy view swordplay as a barbaric form of engagement."""
"20","Magic","Magic","Crystal Magic Weapon","""Imbues weapon in other hand with crystal magic. More powerful than standard magic reinforcement.The utilization of crystals to enhance soul power is an ancient form of magical reinforcement."""
"21","Magic","Magic","Strong Magic Shield","""Imbues off-hand shield with magic. Reinforce shield to absorb additional damage. Certain members of the Melfian Magic Academy Scoff at these types of magic.The purists, in particular, are disdainful of anything vaguely linked to sword fighting."""
"22","Magic","Magic","Yearn","""Creates a warm soul-like orb that serves as a decoy and lures foes toward itself.People regret loss, and yearn for what they do not have. Perhaps the name of this sorcery harkens to this irony."""
"23","Magic","Magic","Hush","""A sorcery that facilitates surreptitious activity. Reduces the sound made by its caster.The eastern land of Mirrah is not only the home of proud knights. There is also a traditional order of shadow knights, who quietly carry out unspeakable tasks."""
"24","Magic","Magic","Fall Control","""A sorcery that facilitates surreptitious activity. Reduces the damage taken from falls.The eastern land of Mirrah is not only the home of proud knights. There is also a traditional order of shadow knights, who use any means necessary to carry out their orders."""
"25","Magic","Magic","Hidden Weapon","""A sorcery that dates farther back than recollection. Makes weapon in other hand invisible.Effective use of this, like any tool, perhaps, is reliant upon the ingenuity of its caster."""
"26","Magic","Magic","Repair","""A sorcery that dates farther back than recollection.Repairs equipped weapons and armor. Uses light to repair damaged weapons and armor. Supposedly this sorcery restores items to a past state, but with the knowledge of this art lost, the finer details of the phenomenon are unknown."""
"27","Magic","Magic","Cast Light","""A sorcery that dates farther back than recollection. Creates a light that illuminates one's surroundings. Light banishes dark and reveals all. Whether this is desired, is another matter."""
"28","Magic","Magic","Chameleon","""A sorcery that dates farther back than recollection. Allows you to blend into your surroundings. Those who fear the unseen are cowards. Those who never doubt their eyes are fools."""
"29","Magic","Magic","Unleash Magic","""Boosts magic within the body beyond even your own limits, but at great cost to HP.The terrible deeds carried out in Aldia led to the unintentional birth of several shadowy things, all of them eerily malformed."""
"30","Magic","Magic","Focus Souls","An ancient sorcery of Shulva, the Sanctum City. Fires a focused beam of souls. The development of sorceries was stunted in Shulva, as they were considered taboo.Even so, there were some occasional gems created by a group of enthusiasts."
"31","Magic","Magic","Soul Flash","""One of the ancient sorceries that were lost when Eleum Loyce froze over. Rapidly fire a barrage of small souls.Intended to protect its caster more than damage enemies."""
"32","Magic","Magic","Fireball","""A standard spell for pyromancers. Creates a fireball that is hurled at foes. To use pyromancies, equip a pyromancy flame to serve as the catalyst, and assign a pyromancy to an attunement slot.The power of a pyromancy is directly affected by the quality of the catalyst."
"33","Magic","Magic","Fire Orb","""A stronger form of Fireball. Creates a fireball that is hurled at foes. Also inflicts damage to foes near point of contact. The power of pyromancies is influenced by one's pyromancy flame, which can be strengthened through reinforcement."""
"34","Magic","Magic","Great Fireball","""The strongest form of Fireball. Creates a giant fireball that is hurled at foes. The exalted flame, long pined after.Even if it would scorch our very flesh."""
"35","Magic","Magic","Great Chaos Fireball","""The Chaos Flame is said to have devoured the mother of pyromancy.Create a chaos flame, and hurl it at foes.This special flame creates a short-lived surge of molten lava wherever it lands."""
"36","Magic","Magic","Fire Tempest","""An ancient, primal pyromancy. Giant pillars of flame erupt near the caster. The fire tempest incinerates all life.What menace was so great as to make such a fearsome spell necessary?"""
"37","Magic","Magic","Chaos Storm","""The chaos flame is said to have devoured the mother of pyromancy. Create multiple pillars of chaos flame.Those who sought great power were consumed by their own desires. Where are these lost souls now?"""
"38","Magic","Magic","Combustion","""An elementary spell for new pyromancers. Releases a flame in front of the Caster.The simplest pyromancy of all, but surprisingly effective."""
"39","Magic","Magic","Great Combustion","""Superior spell to Combustion. Releases intense flame in front of the caster.A very powerful spell, but so simple that it can be awkward to use."""
"40","Magic","Magic","Fire Whip","""An ancient,primal pyromancy. Sweep foes with a whip-like flame One of the original pyromancies.Effective use of it demands agile footwork, making it a difficult spell for most."""
"41","Magic","Magic","Poison Mist","""A fringe pyromancy of unknown origin. Creates a cloud of poison mist. This spell contradicts the very principles of pyromancy, suggesting that its creator had a heretical streak."""
"42","Magic","Magic","Toxic Mist","""A fringe pyromancy of unknown origin.Creates a powerful cloud of poison mist.The poison gradually erodes the target's body, inflicting damage all the while.Whoever created this spell did not believe his enemies deserved a swift death."""
"43","Magic","Magic","Acid Surge","""A fringe pyromancy of unknown origin.Sprays an equipment eroding acid.Does not directly damage foes, but eats away at their equipment instead. Yet another pyromancy inspired by perniciousness."""
"44","Magic","Magic","Lingering Flame","""One of the pyromancies devised by Straid, the great mage of ancient Olaphis. Release a static fireball that explodes when foes draw near.Straid was an oddly gifted mage, well-versed in both sorceries and pyromancies, but his curious temperament never allowed him to settle down in one place for very long."""
"45","Magic","Magic","Flame Swathe","""One of the pyromancies devised by Straid, the great mage of ancient Olaphis.Great flames envelop and immolate faraway foes.Straid, always immersed in magic, never accepted an apprentice.As a result, much of his extensive knowledge is permanently lost."""
"46","Magic","Magic","Forbidden Sun","""Pyromancy developed in Aldian rites.Fires a giant fireball with a widely encompassing explosion.What could possibly justify such excessive destructive power? In all likelihood, the madmen of Aldia never even questioned the need."""
"47","Magic","Magic","Flame Weapon","Pyromancy that imbues weapon in other hand with fire. Adds fire damage to the types of damage the weapon already inflicts. Pyromancy and sorcery are said to be like oil and water, but in fact their origins can be traced to a common source."
"48","Magic","Magic","Flash Sweat","""A pyromancy that internalizes the power of flame. Sweat profusely, reducing fire damage. Most useful when facing other flame-manipulating pyromancers.Just don't take the looks you get personally."""
"49","Magic","Magic","Iron Flesh","A pyromancy that internalizes the power of flame. Turns the body into iron. Increasing defense and resistance.As one might guess, the rock-solid flesh enabled by this spell dramatically slows movement.Guaranteed to cause trouble if used at an inopportune moment."""
"50","Magic","Magic","Warmth","""One of the lost pyromancies preserved only in the Undead Crypt. Creates a gentle, warm flame that heals those who touch it.Fire can be a show of strength, but it is also a symbol of wisdom and comfort. Fire is what the caster wishes it be."""
"51","Magic","Magic","Immolation","""A pyromancy that creates a coating of flame, allowing the caster to incinerate nearby foes. Needless to say, this is a perilous spell that burns the caster while active. If a person is truly desirous of something, perhaps being set on fire does not seem so bad."""
"52","Magic","Magic","Outcry","A pyromancy of Nadalia, Bride of Ash. Spouts multiple Dark flames.""This child of Dark, bearing inconceivable strength, found herself in a kingless land devoid of souls. And in journeying there, has all but condemned herself to a fate most wretched."""
"53","Magic","Magic","Dance of Fire","Pyromancy created by the magus Eygil, loyal follower of the Old Iron King. Cast flame in a sweeping motion across a targeted area.The fire seems to dance, and makes its victims dance with it."
"54","Magic","Magic","Fire Snake","Pyromancy created by the magus Eygil, loyal follower of the Old Iron King. Creates several pillars of flame in front of the caster.Eygil sought to grant fire a will of its own. This pyromancy was conjured up to behave like a snake, writhing toward its prey, with a mind to strike."
"55","Magic","Magic","Heal","""A healing miracle widely used by clerics.Slightly restores HP. To use miracles, equip a sacred chime and attune a miracle at a bonfire."""
"56","Magic","Magic","Med Heal","""Superior spell to Heal.Restores HP.The strength of miracles are influenced by one's faith.Miracles are tales of the Gods passed down long ago, but only a small number of the original tomes remain in their entirety, and most that exist are restorations."""
"57","Magic","Magic","Great Heal Excerpt","""A highly advanced miracle.An excerpt from the Great Heal tome.Greatly restores HP.Its effect is the same as Great Heal,but has limited uses.The erudite Great Heal tome requiresextensive training to properly interpret,making it accessible to only a select few."""
"58","Magic","Magic","Great Heal","""A glorious miracle only accessible to a smallminority of clerics. Greatly restores HP.Only a select few have learned to recite thisepic romance in its entirety, but those who doare amply rewarded."""
"59","Magic","Magic","Soothing Sunlight","""A special miracle passed down through the ages.Greatly heals HP of self and nearby allies.This miracle, once kept by the Lindelt Monastery, was stolen and never recovered."""
"60","Magic","Magic","Replenishment","""An intermediate miracle.Gradually restores HP.This miracle is used by the resolute Lindelt cleric knights when fighting on the front lines.""Scholar of the First Sin added:""There is a story, passed down through generations, claiming this band of knights once felled a poisonous dragon which menaced an entire nation."""
"61","Magic","Magic","Resplendent Life","""A great miracle used by highly-ranked clerics.Slowly restores a large amount of HP.Cleric Forsalle of Lindelt was a master of miracles who fought battles across the lands. His allies called him a holy knight, but his enemies feared him for his ""demonic powers."""""
"62","Magic","Magic","Bountiful Sunlight","""A special miracle passed down through the ages,Slowly heals a great amount of HP of self and nearby allies.This miracle, once kept by the Lindelt Monastery, was stolen and never recovered."""
"63","Magic","Magic","Caressing Prayer","""An elementary miracle for clerics. Purifies the body, removing all poison. Affects both the caster and nearby allies. This spell was recently developed, and may not be an authentic miracle."""
"64","Magic","Magic","Force","""An elementary miracleReleases a shockwave that staggers foes.Pushes nearby foes back, but leaves them unhurt.Does not directly cause damage, but can be highly effective with a little ingenuity."""
"65","Magic","Magic","Wrath of the Gods","""Miracle that releases local shockwave, staggering nearby foes and causing heavy damage.Little is known about the origins of this miracle, except its shared roots with the Force spell. It makes mention of certain Gods, but alas, their actual names are long forgotten."""
"66","Magic","Magic","Emit Force","""A miracle derived from Force.Emits a forward-moving shockwave.Throughout history, there have been many examples of imitative miracles.When discerning original from imitator is nigh impossible, which is which hardly matters."""
"67","Magic","Magic","Heavenly Thunder","""Emits lightnings in random directions.Scholars bicker over whether this is the original Lightning Spear, or a derivative. One can never gain full control of the power of the Gods, but with a little favor from lady luck, this spell will destroy your foes."""
"68","Magic","Magic","Lightning Spear","""A miracle that launches a spear of lightning.Said to be the legacy of an ancient clan whose leader was revered as the God of Sun.The name of the clan has been lost to time, but the gross incandescence of our magnificent father shall never wane."""
"69","Magic","Magic","Great Lightning Spear","""A miracle that launches a great spear of lightning.Said to be the legacy of an ancient clan whose leader was revered as the God of Sun.The name of the clan has been lost to time, but the gross incandescence of our magnificent father shall never wane."""
"70","Magic","Magic","Sunlight Spear","""A miracle that launches a spear of sunlight.Powered with immense wondrous souls.One of the ancient original miracles, said to have existed from infancy of the very world."""
"71","Magic","Magic","Soul Appease","""One of the lost miracles preserved only in the Undead Crypt. Inflicts heavy damage on mindless Hollows, but has no effect on anything else.The Undead Crypt is a place of rest for the living. Those afflicted by the curse can only pray to one day gain entrance."""
"72","Magic","Magic","Blinding Bolt","A miracle that creates a giant soul mass and transforms it into a lightning-spouting orb of light.Crafted in ancient times by the God of Sun, but later forbidden by the same deity. Was it to protect the world from hatred, or sorrow?"""
"73","Magic","Magic","Magic Barrier","""A miracle encasing the body in a magic barrier.Increases resistance to magic, lightning, fire and dark.This miracle is said to shield its caster with the Rock's armor, and was common amongst the wizard knights of Mirrah."""
"74","Magic","Magic","Homeward","""A miracle that returns the caster to the last bonfire rested at. Traditionally, its destination was the caster's homeland. The curse slowly erodes one's memory, until even one's birthplace is reduced to a figment of a clouded past. But the bonfires are constant, a beacon for the tragically afflicted."""
"75","Magic","Magic","Guidance","""A miracle created to help those who have lost their way. Reveals more messages from other worlds. Countless worlds loosely overlap, and at the seams of contact, kindred souls, who have lost their way, call out to one another with fleeting messages of hope."""
"76","Magic","Magic","Sacred Oath","""An ancient miracle said to have been devised by warriors who once served the God of Sun.Provides a temporary boost to the attack and defense of its caster and all nearby allies."""
"77","Magic","Magic","Unveil","""A miracle that senses traitors.Reveals the location of the nearest enemy, or invading dark spirit.Those who serve the Lindelt Monastery willfully adhere to strict commandments. This miracle was created to castigate those who ignore the righteous teachings."""
"78","Magic","Magic","Perseverance","""Enwreathes its caster with a pure veil.Grants temporary resistance to status effects.Lindelt ascetics are sent to distant lands for proselytizing and self-training, but many of them decide not to return."""
"79","Magic","Magic","Sunlight Blade","""An ancient miracle of the sun.Reinforces weapon in other hand with sunlight, a form of lightning.The sun grants life to all things upon the earth, even if the worshipers of sunlight no longer bless the surface with their presence."""
"80","Magic","Magic","Denial","An ancient miracle owed to the cardinal of Shulva.Challenge fate one time when HP reaches 0.Originally intended to grant the dying a few moments for a final farewell."
"81","Magic","Magic","Splintering Lightning Spear","""Developed from a primal miracle. Launch splintering spears of lightning.Ever since miracles came to be, learned men have endeavored to rework and remold them to their satisfaction. This is one such effort"""
"82","Magic","Magic","Dark Orb","""A hex modified from an old sorcery by Gilleah, the father of Hexing.Fires a heavy orb of darkness.To use hexes, equip a sacred chime or staff, and attune a hex at a bonfire.Required equipment depends on hex.Catalyst: Staff"""
"83","Magic","Magic","Dark Hail","""A Hex modified from an old sorcery by Gilleah the Hexer.Fires several orbs of darkness.Hexing is both rooted in sorcery and miracles, but is viewed as a perilous affront to all life, and banned in most lands.Catalyst: staff"""
"84","Magic","Magic","Dark Fog","""A hex that releases a temporary localized mist.Those who breathe in the mist are instantly assailed by poison.This hex is regarded as a poison due to the outward symptoms, but in fact the mist eats away at the target's inner essence. Just the traits that led to the prohibition of hexing.Catalyst: staff"""
"85","Magic","Magic","Affinity","""An advanced hex based on an ancient sorcery. Creates a dark mass that seems to pursue its target with a will of its own.It appears to be a manifestation of an emotion. Perhaps of hate, perhaps of love.Catalyst: staff"""
"86","Magic","Magic","Dead Again","""Hex that casts a dark flame upon corpses, causing them to combust violently.Hexes such as these, that tamper with life itself, are particularly abhorred.Catalyst: staff"""
"87","Magic","Magic","Dark Weapon","""Felkin the Outcast applied his art to transform Magic Weapon into a hex.Adds dark damage to the types of damage the weapon already inflicts.Those who choose the path of dark are admonished by all manner of sorcerer.But that does not stop the curious from being drawn to this strangely alluring craft.Catalyst: staff"""
"88","Magic","Magic","Whisper of Despair","""A hex that releases verbose darkness.The darkness echoes words of despair, reducing the defense of opponents.The Dark blankets the world in black.A thing of tranquility, a thing serene.Catalyst: staff"""
